Tc,Pc,Vc,Tb,Tm,Hf,Gf,Hv_stp,Cp_stp,Cp_B,Cp_C,Vm_stp,omega
600.3643193679482,29.882725193168564,0.00045330999999999995,404.0843142085984,212.12408713839696,-173116.0,38196.0,40711.00000000001,156.10389999999998,387.9196,-137.02120000000002,0.00014434000000000002,0.26303855190279013
622.0087620420153,26.909822082327885,0.0005091100000000001,428.6460133594045,223.4160223283109,-193879.0,46426.99999999999,45361.00000000001,178.7385,433.0129,-152.7245,0.00016074000000000004,0.3062464607787652
641.3406281070587,24.378756071692088,0.0005649100000000001,450.56987364541453,233.58576239076115,-214642.00000000003,54658.0,50011.0,201.3731,478.1062,-168.4278,0.00017714000000000003,0.3498196680969855
658.8067304951481,22.20612007345575,0.00062071,470.36793566295813,242.8363304288604,-235405.0,62888.99999999999,54661.0,224.0077,523.1995,-184.1311,0.00019354000000000002,0.3935500292642247
674.7357207583113,20.327298172564905,0.0006765100000000001,488.41625087603444,251.32019588622492,-256168.00000000006,71120.0,59311.0,246.64230000000003,568.2927999999999,-199.83440000000002,0.00020994,0.4372807035550628
689.3763988856061,18.69160515325947,0.00073231,504.9991445687753,259.1547798487877,-276931.00000000006,79351.0,63961.00000000001,269.2769,613.3860999999999,-215.5377,0.00022634,0.48089298553530613
702.9216547354831,17.2588319402773,0.00078811,520.3368173200749,266.4324368556422,-297694.0,87582.0,68611.0,291.9115,658.4793999999999,-231.241,0.00024274000000000005,0.5242968567578192
715.5240590129254,15.996750692720642,0.00084391,534.6032869499494,273.22711815771623,-318457.00000000006,95813.0,73261.0,314.5461,703.5726999999999,-246.9443,0.00025914000000000004,0.5674241021805501
727.3063720603003,14.879286546490391,0.0008997100000000001,547.9384634980847,279.5989582208714,-339220.0,104044.0,77911.0,337.1807,748.6659999999999,-262.6476,0.00027554000000000006,0.6102232265694231
738.3688373327747,13.885159934046703,0.0009555100000000001,560.4565187647495,285.5975158267916,-359983.00000000006,112275.0,82561.0,359.81530000000004,793.7592999999999,-278.3509,0.00029194000000000003,0.6526556545010079
601.3492126813172,37.11212317472984,0.00037612999999999996,401.29279249118514,208.0533350185914,-93711.00000000001,85720.0,39135.00000000001,122.07209999999996,386.775,-144.6594,0.00012897000000000003,0.2599234769643262
631.5471320530709,32.3374913106385,0.00045694999999999997,426.2690149353838,229.84843480374883,-137916.0,80037.99999999999,43448.0,146.6445,451.5282,-168.0211,0.00014387000000000002,0.24639303813453128
657.4225034761295,28.45941131106463,0.0005377700000000001,448.52246162677625,247.80965297175743,-182121.0,74356.0,47761.0,171.2169,516.2814,-191.3828,0.00015877000000000003,0.2329393898794293
667.7826729277524,25.700764012232877,0.00058847,461.1059722338417,246.8492069852481,-211071.0,77942.99999999999,49998.00000000001,192.6247,570.759,-215.11700000000002,0.00017557000000000003,0.25555599681637525
682.9729176010826,23.34301892154216,0.0006442700000000001,479.95364012462636,255.01976860186244,-231834.0,86173.99999999999,54648.0,215.2593,615.8523,-230.8203,0.00019197000000000002,0.29867399564787317
696.9872212898006,21.31209650549825,0.00070007,497.20885697529116,262.5864321656098,-252597.0,94404.99999999999,59298.0,237.89390000000003,660.9456,-246.5236,0.00020837000000000004,0.3422001482338613
709.9946437143561,19.55026976601302,0.0007558700000000001,513.1198778051152,269.6323564499851,-273360.00000000006,102636.0,63948.0,260.5285,706.0389,-262.2269,0.00022477000000000003,0.38591563553291613
722.1302193711424,18.01201635520283,0.00081167,527.8810795450812,276.22462429941265,-294123.00000000006,110866.99999999999,68598.0,283.1631,751.1322,-277.9302,0.00024117000000000002,0.42965574103342513
640.9947923622622,35.55346281418891,0.00043061999999999994,441.8195176165412,217.1909333260396,-1788.000000000018,217988.99999999997,44677.0,143.09859999999998,496.64879999999994,-198.7206,0.00014317000000000003,0.283402573271324
661.4268630283898,31.931057953524103,0.00048626999999999996,458.9154606791963,235.24854410074298,-108223.99999999999,139380.0,48759.00000000001,156.6551,549.9545,-215.0968,0.00016170000000000005,0.30925197895751944
683.5977287827271,28.126670963838713,0.00056709,478.0319450482724,252.36016816744797,-152429.0,133697.99999999997,53072.0,181.2275,614.7076999999999,-238.45850000000002,0.00017660000000000004,0.29552749882781126
